mcmc_step	b1	d1	k1	k2	s1	s2	a1	a2	r1	r2	g1	t1	e1
95599	0.3959077578203967	0.0015399658992609902	1.549061618824576e-08	8.360106481187473e-08	12.651046096272852	28.13871498904256	0.024864607851952377	0.015506546505495994	1.5594237974031564	7.227546140661286	0.21040025203629445	10.241802986711345	0.000678108347090668
97399	0.45165523589909845	0.0012479282970700824	1.4232094581679199e-08	9.009325698512784e-08	12.138070066714018	17.338924935794672	0.023669974885057777	0.013591474777850065	1.589162940955197	6.604908339083685	0.21288408937999762	10.149098859488829	0.0016532930474417006
96999	0.5286785988245803	0.0035801045243396496	1.4876622201028288e-08	9.646080131369608e-08	13.40137129286265	20.96988923990696	0.023557330499218845	0.013585532090462347	1.599464336070709	6.673215535579632	0.22163920336946322	10.184309768030054	0.0003995185630364343
93399	0.36384193336589166	0.0016315587889627547	1.2936938769501314e-08	7.628019739526331e-08	13.084955617389271	27.300807576057117	0.024460986989111134	0.016004557998198433	1.5953109521523536	7.624526457669311	0.1839288429865365	11.001053296087353	0.0012279137974815606
92999	0.42044040001926036	0.0009403334942346004	1.3777120226597126e-08	9.923555437938521e-08	17.209600600670683	27.7691224925072	0.024032940740967478	0.015931757035115512	1.6062508905991801	7.589793185316442	0.2049381180043279	10.924883267529419	0.0013797572629695085
93199	0.45508446334209907	0.0016769642342094914	1.4139455595322758e-08	1.1304341574650888e-07	19.376645546313608	27.741290510719143	0.024218534416664845	0.018516839062347558	1.601077995880201	7.557624591711646	0.20560037095896672	10.93150029787669	0.0011265461317213714
96599	0.4999726752249326	0.0034339879456988893	1.5468577760827686e-08	9.577045330469049e-08	11.77203259819682	20.850317905664976	0.02274410573174891	0.015699562539637966	1.57413246331193	6.709492783810859	0.2286867938239985	10.129466468018752	0.0013025619951964806
94799	0.5451179590264422	0.0023576274734929143	1.3339105936388671e-08	8.920346474383847e-08	8.543855651643707	21.336088315657825	0.02438917397162954	0.01695359848755077	1.556811860189029	7.389013741203188	0.20739362293965755	10.698317363155025	0.0008050424857526954
94999	0.3633319533513186	0.000921363023817489	1.372729576942264e-08	9.636746260815396e-08	7.766249221549004	17.03981339086504	0.023645981363048154	0.013939290214556817	1.543585914299333	7.079687401302529	0.20517687844284435	10.46701809279259	0.000638925613967691
93999	0.3748928867708509	0.0008417875029690648	1.4124324911794028e-08	9.202831883930357e-08	16.33359501216166	28.934261256042397	0.024366616711135547	0.017300563101442675	1.5667648445486577	7.724655016739358	0.19546805150725352	10.991831991781408	0.0009919600325995668
92799	0.4195678311882527	0.0018782892421358318	1.3944382112515148e-08	8.344654296286708e-08	13.300577988394439	29.122499456578005	0.024144462183241112	0.016623345315943745	1.6113809175234004	7.611767101802876	0.2084998054058351	10.916045432613915	0.0013501477466032158
95999	0.48015302182341946	0.0009716967120705581	1.4702721902394475e-08	1.0454493518315869e-07	10.149535638709919	17.87374168095985	0.023215279906210296	0.014129631321318543	1.5493794948349864	6.680589767697847	0.22819686042573978	9.944174565807078	0.0005177038181244855
95399	0.4414475567139728	0.0013261834222480229	1.4152533763605214e-08	8.766548837733803e-08	13.52466629824698	25.7922883979975	0.025103888463338307	0.019028769829505035	1.5299382827074297	7.171274261226204	0.20603936562922365	10.027000767637222	0.0011191840574764785
96199	0.5458346975127454	0.001636485151498187	1.5402035532615395e-08	1.042715973758916e-07	13.534266966015739	15.466361935193609	0.022676133886720705	0.01269551123114606	1.5563726216835043	6.564145805404274	0.23130975410452248	10.111864179740865	0.0005448041824098942
