#a1	a2	a3	a4	a5	a6	a7	a8	a9	a10	a11	a12	a13	StepNum
-1.39794000867204	-2.87942606879415	-8.67985371388895	-7.65955588515988	0.993876914941211	0.857935264719429	-2	-2.30102999566398	-0.221515918082689	0.301029995663981	-1.75646589816794	0.477121254719662	-3.22184874961636	1
-1.31341268743158	-1.47592469139508	-7.99872880081885	-7.51496313592502	1.73869969978947	0.758391711790394	-1.88632963292752	-1.73686561361026	-0.0654136603783955	0.383032833374748	-1.37578397038694	0.485517870731628	-2.01524208436828	199
-1.21841962532914	-1.89980827008073	-8.04034535000194	-7.84224560439094	0.702610861849758	1.27048802912974	-1.79373300171176	-2.27121720378342	-0.0128189386339595	0.375020613272983	-1.30680944996955	0.588181464654728	-3.6331671086914	399
-1.73359380070764	-2.27959822775191	-7.92603706767297	-7.74065035873798	0.75037563261597	0.727601615842782	-1.74904369906338	-2.30083015012506	-0.00713103499899555	0.359976639047235	-1.12584243946604	0.576205371652699	-2.55999074392261	599
-1.59984106838892	-2.45184933118932	-7.88482840156895	-7.69451898835796	0.372664406184274	0.908061731798824	-1.82658997467271	-2.2953056887656	-0.00940742654088786	0.396558244538615	-0.937255987037707	0.617408643036701	-2.60680412184077	799
-1.8438771225	-2.40483746275996	-7.89681475673453	-7.88460692231184	0.589363331988409	0.535459745923872	-1.79765193699564	-2.19365046234177	-0.00679643537979511	0.400658950295006	-1.0290002450582	0.612948706599939	-2.80711686502467	999
-1.54896849401139	-2.15154840906221	-7.86239435866243	-8.2257182318092	-0.0292983926900433	0.811320465076229	-1.81574173322005	-2.2546018245341	-0.0138889157407711	0.410628337755888	-0.990411216975761	0.624580025908926	-3.29569802229672	1199
-1.70101575750027	-2.43533625927608	-7.80845761414731	-8.0587802070525	0.633120330656072	0.815128707816209	-1.78322350802178	-2.20283717412593	-0.00757091848732594	0.43701979374589	-0.917988914611355	0.632803906095078	-3.224909744935	1399
-1.79240524600544	-3.34563221563286	-7.7980296806262	-7.99720090092366	0.568333367877892	1.32190371360636	-1.77869601227715	-2.16798145190744	-0.0179124817097518	0.471777122090255	-0.898778750429707	0.636546632536732	-3.72940182164361	1599
-1.42006700270579	-3.38979654643657	-7.76340740896816	-7.88284819850356	0.198081940268155	0.929459974552139	-1.73493766041778	-2.07994584153577	-0.00691942686312043	0.521494065675297	-0.873007356357219	0.68009851623367	-3.1969694206712	1799
-1.90965513162909	-3.42153400350805	-7.81225020940718	-7.83262685045299	0.315030634359274	1.48123237389901	-1.72521311763384	-1.99941940917605	-0.00673953905053226	0.521946342094147	-0.935772929524998	0.678639648048117	-3.29361337363438	1999
-1.5018780605395	-2.4460725719008	-7.85475394616555	-7.90046401623394	0.720855254170545	-0.0644593724436531	-1.71768424696814	-1.98739600787069	0.0138575882793231	0.538040264489303	-0.945146475426163	0.689636664739994	-3.16709046695388	2199
-2.00434095074665	-3.02856443442983	-7.80985497297876	-7.92711472663474	0.291228085178099	0.743615271988923	-1.74675035336565	-2.12304638039084	0.0168000609578076	0.536790947460535	-0.934338424274519	0.721959203904645	-3.59413235561008	2399
-1.34599069371286	-3.06088794061584	-7.79714918780514	-7.77641775612482	0.717443780762525	0.334438348051676	-1.74538519106076	-2.09415797955952	0.026899056653868	0.553273454073563	-0.841367434258581	0.713633291553285	-3.04162472791778	2599
-1.15642700287272	-2.36863180930524	-7.78794761423292	-7.99408369711166	0.493261030484205	0.723577013360927	-1.73898867666631	-2.04691456149107	0.0169625384441257	0.556646217887398	-0.880351614091411	0.719704687384348	-3.31143093506592	2799
-1.75763525335092	-2.43177701094798	-7.85756937997598	-7.85509880121298	0.370762301523503	0.583342198735699	-1.74806892951563	-2.14433845190257	0.0242070603842918	0.568656853178351	-0.953188871159442	0.738304372888907	-3.69472899196775	2999
-1.76175522310267	-3.25981525175124	-7.81861985769715	-8.04924275041029	0.257026427280374	0.798312674658782	-1.77027824505099	-2.11021138591227	0.0403547315088476	0.556132261572474	-0.862366039226439	0.748401092452612	-3.18372125663529	3199
-1.27246139989647	-3.01414313930575	-7.83872278146948	-7.68535863525844	0.791822414574325	0.956161390579843	-1.7616838902928	-2.06119784616559	0.0584245047759315	0.585049990961945	-0.864889462747706	0.769018685904037	-2.52251674875835	3399
-1.49792198408105	-3.02023121099878	-7.77152715824998	-8.06315594502397	0.462704582273773	0.282155080465829	-1.75606039154541	-2.04022909705559	0.0332716722168085	0.594310188701088	-0.826508619367161	0.774650397475641	-2.81233163163296	3599
-2.11937510928608	-3.3652070388744	-7.84109752682742	-7.99339925842609	0.538334441377255	0.575912525063537	-1.76515483740981	-2.05944567503336	0.0359960851579613	0.595170853731298	-0.940365376188606	0.794179497429179	-2.91389222404806	3799
-1.7210490361712	-3.76116450946271	-7.95040134518887	-7.47590774176729	0.315278613074934	0.299870115653151	-1.75547003342692	-2.052811369184	0.0379572899382676	0.613209428474745	-0.936411204878064	0.774591731577637	-3.09284453669782	3999
